id,name,description,url,external_id,created_at,updated_at,last_scraped_at,is_active,is_featured,discovery_method,platform_name,platform_url,platform_description
2234,ObsidianVault,Backup repo for my notes,https://github.com/Giuseppe-DR/ObsidianVault,,2025-09-18T10:56:43.701225,2025-09-18T10:56:43.701226,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2718,Open-Docs,"Open AI Document is a project for public interest. It's powered by Gemini that tracks and translates docs of popular open-source libraries into Simplified/Traditional Chinese, Japanese, Korean, etc.",https://github.com/BinaryTape/Open-Docs,,2025-09-18T10:56:43.744893,2025-09-18T10:56:43.744894,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2221,OpenAI-Agent-SDK,OpenAI Agents SDK 中文文档，OpenAI Agents SDK 是由 OpenAI 开源的用于构建 AI 智能体应用的工具包，专为开发和部署 AI 代理而设计，支持 OpenAI 模型，适合简单和复杂的代理架构。,https://github.com/agentdevhub/OpenAI-Agent-SDK,,2025-09-18T10:56:43.700661,2025-09-18T10:56:43.700662,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
31,OpenFeign/querydsl,Unified Queries for Java,https://github.com/OpenFeign/querydsl,711629509,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2499,Orus-lang-register-based-VM,Vibe-coded application: Orus-lang-register-based-VM,https://github.com/jordyorel/Orus-lang-register-based-VM,,2025-09-18T10:56:43.720883,2025-09-18T10:56:43.720883,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2527,Ozymandias,Wideframe CrewAI 8-Node Coding Team - Optimization project needing fixes,https://github.com/hypersonic-daydreams/Ozymandias,,2025-09-18T10:56:43.723194,2025-09-18T10:56:43.723195,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2428,PCG-RLIL,Final year project for University.,https://github.com/JZzz2019/PCG-RLIL,,2025-09-18T10:56:43.714560,2025-09-18T10:56:43.714561,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2634,PF2e-Core-Vault,Obsidian vault for PF2e RPG Core data.,https://github.com/NyteshadeXT/PF2e-Core-Vault,,2025-09-18T10:56:43.735219,2025-09-18T10:56:43.735219,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2506,PHM_Agent,Vibe-coded application: PHM_Agent,https://github.com/PHMbench/PHM_Agent,,2025-09-18T10:56:43.721512,2025-09-18T10:56:43.721513,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2459,PRESENT,REALTIME MEETING PRODUCER?ASSISTANT AGENT PROJECT,https://github.com/human-bee/PRESENT,,2025-09-18T10:56:43.717696,2025-09-18T10:56:43.717697,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2159,PatternRecognitionClass,Vibe-coded application: PatternRecognitionClass,https://github.com/CombatOrpheus/PatternRecognitionClass,,2025-09-18T10:56:43.697393,2025-09-18T10:56:43.697394,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2699,Penumbra,Vibe-coded application: Penumbra,https://github.com/mfoltz/Penumbra,,2025-09-18T10:56:43.742843,2025-09-18T10:56:43.742843,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
